0.187005	1.93295	109.204	9.00778	
0.166144	1.65745	95.476	6.80329	
0.175152	1.64131	94.6035	7.59177	
0.10371	0.925218	51.8368	4.95363	
0.0344893	0.179456	12.3775	1.00016	
0.124523	1.06924	62.6069	5.56104	
0.184992	1.6823	95.6627	8.17277	
0.198435	1.6919	97.3122	6.99061	
0.190007	1.80901	103.949	8.66381	
0.00603852	0.0589307	3.43758	-104.311	
0.00569415	0.0476055	2.75884	-83.6487	
0.00510545	0.049537	2.81063	-85.2752	
0.00366761	0.0283659	1.61794	-49.0627	
0.00263228	0.022968	1.33762	-40.5679	
0.00405135	0.030692	1.7677	-53.6064	
0.00454823	0.0403616	2.3499	-71.2995	
0.00386704	0.0371693	2.16179	-65.5565	
0.00538239	0.051164	2.89951	-87.9643	
0.00298241	0.0283902	1.6097	-97.7628	
0.00315845	0.0317416	1.84251	-111.933	
0.00300761	0.0301581	1.70521	-103.601	
0.00180116	0.0197165	1.11915	-67.9736	
0.00197233	0.0189423	1.10247	-66.9694	
0.00223012	0.0249285	1.39807	-84.9417	
0.00300659	0.0282202	1.60064	-97.2094	
0.00337725	0.0289885	1.68875	-102.588	
0.00385928	0.0354163	2.00486	-121.798	
