<<<<<<< HEAD
0.947574	0.0897147	0.306682	-1.44187
-0.172407	0.951631	0.254312	-2.34645
-0.269033	-0.293854	0.917209	890.164
0.901436	0.0246784	0.432209	-3.74106
-0.15194	0.952899	0.262483	-0.933547
-0.405374	-0.302282	0.862727	880.959
0.835337	-0.0409273	0.548212	-5.9595
-0.132715	0.952715	0.27335	-2.50897
-0.533478	-0.301096	0.790407	890.039
0.947578	0.089719	0.306671	-1.4417
-0.210409	0.897508	0.387566	-3.22794
-0.240468	-0.431775	0.869336	882.902
0.901424	0.0246667	0.432234	-3.74122
-0.210394	0.897516	0.387557	-3.22672
-0.378377	-0.440292	0.814232	870.987
0.835344	-0.0409139	0.548203	-5.95871
-0.210392	0.897508	0.387576	-3.22806
-0.507874	-0.439097	0.74112	883.049
0.947571	0.0897324	0.306689	-1.44197
-0.24377	0.823535	0.512217	-4.04041
-0.206607	-0.560123	0.802232	892.353
0.901434	0.0246884	0.432212	-3.74103
-0.264184	0.822296	0.50402	-5.4509
-0.342963	-0.568524	0.747768	879.973
0.835338	-0.0409296	0.548212	-5.95941
-0.28339	0.82245	0.49322	-3.87832
-0.471064	-0.567363	0.675424	892.066
=======
0.94959	0.0912138	0.299931	-8.33504
-0.171918	0.951558	0.254914	-8.51911
-0.26215	-0.293627	0.919272	931.859
0.904428	0.0261956	0.425822	-8.4111
-0.151396	0.95286	0.26294	-7.1889
-0.398861	-0.302278	0.865759	923.21
0.839239	-0.0394255	0.542331	-8.3024
-0.132095	0.952709	0.273671	-8.88709
-0.527473	-0.301315	0.794343	933.066
0.949593	0.0912181	0.29992	-8.33504
-0.208905	0.89747	0.388467	-7.2522
-0.233734	-0.43154	0.871287	925.12
0.904416	0.026184	0.425847	-8.41081
-0.20889	0.897477	0.388458	-7.25124
-0.372017	-0.440283	0.817162	913.687
0.839246	-0.039412	0.542321	-8.30188
-0.208888	0.897469	0.388477	-7.25237
-0.502027	-0.439312	0.744965	926.623
0.949586	0.0912315	0.299938	-8.33523
-0.241284	0.823532	0.513398	-5.82751
-0.200171	-0.559886	0.804027	935.279
0.904426	0.0262056	0.425825	-8.41114
-0.261753	0.82226	0.505346	-7.15628
-0.336896	-0.568509	0.750533	923.359
0.83924	-0.0394278	0.54233	-8.30229
-0.281035	0.82238	0.494681	-5.46023
-0.465506	-0.56757	0.679094	936.32
>>>>>>> origin/master
