9	27	810	7290
3	0	25	188.547	342.028
4	0	25	197.624	341.454
5	0	25	226.366	343.961
6	0	25	194.532	366.754
7	0	25	203.543	360.606
8	0	25	231.718	387.797
0	0	26	239.025	322.421
1	0	26	248.452	328.417
2	0	26	275.223	306.741
3	0	26	235.422	342.165
4	0	26	244.882	341.463
5	0	26	271.998	343.829
6	0	26	240.733	367.836
7	0	26	250.219	360.615
8	0	26	276.715	386.752
0	0	27	285.356	321.473
1	0	27	295.303	328.419
2	0	27	320.454	307.707
3	0	27	282.207	342.264
4	0	27	292.19	341.454
5	0	27	317.597	343.71
6	0	27	286.872	369.005
7	0	27	296.757	360.602
8	0	27	321.791	385.574
0	0	28	331.57	320.56
1	0	28	342.095	328.417
2	0	28	365.712	308.558
3	0	28	328.781	342.357
4	0	28	339.389	341.457
5	0	28	363.389	343.623
6	0	28	332.949	370.224
7	0	28	343.425	360.61
8	0	28	366.949	384.57
0	0	29	377.807	319.556
1	0	29	388.912	328.424
2	0	29	411.225	309.529
3	0	29	375.48	342.439
4	0	29	386.618	341.453
5	0	29	409.194	343.533
6	0	29	378.963	371.255
7	0	29	390.05	360.605
8	0	29	412.233	383.46
0	1	30	146.45	369.771
1	1	30	155.177	374.062
2	1	30	185.154	349.778
3	1	30	141.646	388.28
4	1	30	150.401	387.954
5	1	30	180.824	389.675
6	1	30	147.91	410.768
7	1	30	156.581	405.951
8	1	30	186.445	433.455
0	1	31	192.901	368.778
1	1	31	201.953	374.057
2	1	31	230.272	350.732
3	1	31	188.547	388.357
4	1	31	197.623	387.957
5	1	31	226.39	389.615
6	1	31	194.265	411.893
7	1	31	203.283	405.953
8	1	31	231.416	432.415
0	1	32	239.34	367.843
1	1	32	248.695	374.06
2	1	32	275.437	351.679
3	1	32	235.421	388.425
4	1	32	244.89	387.954
5	1	32	272.007	389.559
6	1	32	240.476	412.976
7	1	32	249.904	405.946
8	1	32	276.487	431.336
0	1	33	285.578	366.845
1	1	33	295.521	374.059
2	1	33	320.629	352.613
3	1	33	282.213	388.482
4	1	33	292.191	387.944
5	1	33	317.603	389.5
6	1	33	286.596	414.112
7	1	33	296.535	405.968
8	1	33	321.571	430.286
0	1	34	331.775	365.928
1	1	34	342.348	374.064
2	1	34	365.943	353.586
3	1	34	328.783	388.535
4	1	34	339.397	387.945
5	1	34	363.395	389.444
6	1	34	332.699	415.197
7	1	34	343.226	405.945
8	1	34	366.739	429.209
0	1	35	378.024	364.93
1	1	35	389.125	374.063
2	1	35	411.401	354.513
3	1	35	375.479	388.594
4	1	35	386.616	387.942
5	1	35	409.193	389.38
6	1	35	378.76	416.282
7	1	35	389.832	405.966
8	1	35	412.045	428.125
0	1	36	146.807	415.912
